ward,ticket_count,ticket_count_rank,current_amount_due,current_amount_due_rank,fine_level1_amount,fine_level1_amount_rank,total_payments,total_payments_rank,avg_per_ticket,avg_per_ticket_rank,paid_pct,paid_pct_rank,police_ticket_count,police_ticket_count_rank,police_ticket_count_pct,police_ticket_count_pct_rank,contested_ticket_count,contested_ticket_count_rank,contested_ticket_count_pct,contested_ticket_count_pct_rank,paid_ticket_count,paid_ticket_count_rank,paid_ticket_count_pct,paid_ticket_count_pct_rank,dismissed_ticket_count,dismissed_ticket_count_rank,dismissed_ticket_count_pct,dismissed_ticket_count_pct_rank,seized_or_suspended_ticket_count,seized_or_suspended_ticket_count_rank,seized_or_suspended_ticket_count_pct,seized_or_suspended_ticket_count_pct_rank,bankruptcy_ticket_count,bankruptcy_ticket_count_rank,bankruptcy_ticket_count_pct,bankruptcy_ticket_count_pct_rank
1,1720717,8,39402474.29997046,16,100835215,8,92243562.2200177,6,58.600696686323204,38,0.7006938048302891,7,598783,14,0.3479845901446897,48,120036,8,0.06975929220202974,35,1184804,6,0.6885525045664104,6,110457,8,0.06419242676163484,40,392455,7,0.22807643557888949,41,5904,25,0.0034311278379884663,38
2,2081261,3,34313927.60998574,24,117298610,4,109396506.74001777,3,56.359394617013436,46,0.7612286973789604,4,825312,5,0.3965442104570258,46,179269,4,0.08613480000826422,15,1482622,4,0.7123671658672315,5,175963,4,0.08454633993526041,13,388546,8,0.18668778207058126,47,7169,21,0.003444546359154378,37
3,1189111,12,43156139.909971036,12,73217160,10,61897168.84998397,12,61.57302388086562,30,0.5891977090547231,29,764735,7,0.6431148984409362,10,104479,11,0.08786311790909343,10,705441,13,0.5932507562372226,28,102294,10,0.08602561072936,11,405934,6,0.34137603638348313,15,16634,13,0.013988601568734962,16
4,1783330,6,46194765.82997957,9,101895980,7,90883361.90001214,7,57.138039510354226,45,0.6630041087154965,14,1054462,2,0.5912882080153421,20,171359,5,0.09608933848474484,5,1121035,8,0.6286189319980038,19,179054,3,0.10040429982112116,2,510207,4,0.28609791794003353,26,16886,12,0.009468802745425692,20
5,1082520,16,39552581.469974294,15,68784395,13,59158850.5799856,14,63.54099231422976,24,0.5993110357272913,25,491319,23,0.4538659793814433,39,89974,15,0.08311532350441563,21,652664,18,0.6029117244946975,26,93870,13,0.08671433322248087,10,369375,13,0.34121771422237,16,17008,11,0.015711488009459408,15
6,842531,23,49857871.219960466,7,60035045,19,46647796.01998675,21,71.25559178237953,7,0.4833684627453415,42,554230,17,0.657815558121897,8,64166,21,0.0761586220566365,29,429791,27,0.5101189155057796,41,66988,19,0.07950805370959645,25,379870,11,0.45086768320690873,6,21722,5,0.025781840668177194,5
7,605630,37,36191215.48997564,21,42136265,37,31078552.229994938,39,69.57426976867065,11,0.46199880397042836,45,326201,37,0.5386143354853623,26,47757,33,0.0788550765318759,28,288880,40,0.4769909020358965,47,51773,31,0.0854861879365289,12,284753,25,0.4701765104106468,2,14864,14,0.02454303782837706,8
8,644121,36,34588724.14998378,23,44527970,34,35389518.18999399,35,69.12982188129249,14,0.5057217358798446,37,332850,36,0.5167507347222028,28,53974,25,0.08379481494936511,18,337851,37,0.5245148038955414,39,56929,26,0.0883824623013378,7,279581,26,0.43405043462330833,11,14843,15,0.023043806986575505,9
9,426441,43,24561964.109995287,36,30701615,42,23855443.039998736,44,71.9949887557716,6,0.49270385268868494,41,259990,42,0.6096740229011751,16,35715,39,0.08375132785074606,19,217448,43,0.5099134464087647,42,35801,42,0.08395299701482738,15,182461,38,0.4278692714818697,12,9726,18,0.022807375463428703,11
10,378418,45,17515544.920004107,43,24896580,45,19158495.50000064,45,65.7912150056287,19,0.5223993669797607,35,220513,45,0.5827233376847825,21,26702,46,0.07056218256002622,33,204468,45,0.5403231347346057,35,28663,45,0.07574428277724632,31,123742,43,0.32699818718982715,17,4141,30,0.010942925547939051,18
11,691235,34,18569295.469999447,40,43755585,36,38527960.08999556,32,63.30059241791865,25,0.6747777929450963,12,300860,40,0.43524995117434734,41,64437,20,0.0932201060420841,6,460070,25,0.6655768298769593,10,57398,25,0.0830368832596729,19,164786,39,0.23839359986111813,36,3852,32,0.005572634487547651,25
12,829417,25,34209373.24997883,25,51824585,30,40905144.81999117,26,62.4831478014075,26,0.544570422217015,34,414357,31,0.4995762083487558,34,39293,38,0.04737423997820155,47,473805,23,0.5712506495526376,32,41052,36,0.04949500673364544,47,245282,27,0.29572820426878155,23,3858,31,0.004651460001422686,29
13,315842,47,11406965.550002372,47,22074815,46,18754217.11000107,46,69.89195547140659,10,0.6217997921835778,21,139329,47,0.44113512452428744,40,25600,47,0.08105318482025824,27,197213,47,0.6244039741389682,21,23633,47,0.07482538737723292,33,78192,47,0.24756682138537622,33,1280,48,0.004052659241012911,34
14,654187,35,27332523.519991275,31,44167570,35,33849359.00999585,36,67.51520589678486,16,0.553257886326156,32,309904,39,0.47372387406047506,38,30127,43,0.04605258129556228,48,371205,33,0.5674294964589636,33,31640,43,0.04836537564947026,49,163766,40,0.25033514881830427,32,1830,45,0.002797365279346731,44
15,792182,29,38148693.42997505,19,52100545,28,38410743.74999296,33,65.76840296800482,20,0.5017114174925419,38,447352,29,0.5647086149394962,23,34253,41,0.04323880118457627,49,425433,28,0.537039468203014,37,38860,38,0.04905438396732064,48,244233,29,0.30830415232863156,20,6185,24,0.0078075492752927985,22
16,819022,26,51120763.21995334,5,57324405,22,41399119.65998942,24,69.99128839029964,9,0.4474618684257356,48,553810,18,0.6761845225158787,7,49500,32,0.06043793695407449,43,393370,30,0.48029234867927845,45,54103,30,0.06605805460659177,39,369270,14,0.45086700967739574,7,18066,10,0.02205801553560222,12
17,716216,33,44384055.58996508,10,52025285,29,39102421.52999009,30,72.63909909859595,5,0.4683683259722037,44,466024,27,0.6506752152981782,9,52588,28,0.07342477688295151,32,355350,35,0.4961492063846661,44,55031,28,0.07683575904475745,30,322208,20,0.44987545656617556,8,18398,9,0.025687781339707574,6
18,254129,48,12535716.680003105,46,18460130,48,15128928.51000179,48,72.64078479827174,4,0.5468686985173337,33,135763,48,0.5342286791353997,27,21021,49,0.08271783228202999,24,140768,49,0.5539234011073116,34,20948,48,0.08243057659692518,21,91415,46,0.3597188829295358,14,4445,29,0.017491116716313367,14
19,226082,49,7715440.7200008575,49,16108530,49,14535591.68000123,49,71.25082934510488,8,0.6532547083073712,19,134520,49,0.5950053520404102,18,24932,48,0.11027857149175962,1,146118,48,0.6463053228474624,14,20838,49,0.09217009757521608,4,63894,49,0.2826142726975168,27,2422,40,0.010712927168018683,19
20,807223,28,50466651.229951195,6,56077265,24,40496725.99998734,29,69.46935976799472,12,0.44519813614240744,49,565520,16,0.7005746863010593,3,56235,24,0.06966476425969031,36,386617,31,0.4789469576560628,46,60862,22,0.07539676148969987,32,362913,15,0.4495820857433448,9,18452,8,0.022858615277314944,10
