year,violation_code,ticket_number
2013,0976160F,354589.0
2013,0964190A,309604.0
2013,0964040B,276362.0
2013,0964125B,233582.0
2013,0964090E,169257.0
2014,0976160F,375258.0
2014,0964040B,273939.0
2014,0964190A,232690.0
2014,0964125B,183856.0
2014,0964090E,167776.0
2015,0976160F,378188.0
2015,0964040B,284377.0
2015,0964190A,262694.0
2015,0964125B,232250.0
2015,0964090E,177309.0
2016,0976160F,391883.0
2016,0964040B,261136.0
2016,0964190A,237141.0
2016,0964125B,207905.0
2016,0964090E,177170.0
2017,0964040B,241253.0
2017,0964190A,234738.0
2017,0964125B,208802.0
2017,0964090E,194316.0
2017,0976160F,175925.0
