"ward","ticket_count","ticket_count_rank","ticket_count_rank_type","ticket_count_bucket","current_amount_due","current_amount_due_rank","current_amount_due_rank_type","current_amount_due_bucket","fine_level1_amount","fine_level1_amount_rank","fine_level1_amount_rank_type","fine_level1_amount_bucket","total_payments","total_payments_rank","total_payments_rank_type","total_payments_bucket","avg_per_ticket","avg_per_ticket_rank","avg_per_ticket_rank_type","avg_per_ticket_bucket","debt_to_payment_ratio","debt_to_payment_ratio_rank","debt_to_payment_ratio_rank_type","debt_to_payment_ratio_bucket","paid_pct","paid_pct_rank","paid_pct_rank_type","paid_pct_bucket","police_ticket_count","police_ticket_count_rank","police_ticket_count_rank_type","police_ticket_count_pct","police_ticket_count_pct_rank","police_ticket_count_pct_rank_type","contested_and_notliable_pct","contested_and_notliable_pct_rank","contested_and_notliable_pct_rank_type","contested_ticket_count","contested_ticket_count_rank","contested_ticket_count_rank_type","contested_ticket_count_pct","contested_ticket_count_pct_rank","contested_ticket_count_pct_rank_type","paid_ticket_count","paid_ticket_count_rank","paid_ticket_count_rank_type","paid_ticket_count_pct","paid_ticket_count_pct_rank","paid_ticket_count_pct_rank_type","dismissed_ticket_count","dismissed_ticket_count_rank","dismissed_ticket_count_rank_type","dismissed_ticket_count_pct","dismissed_ticket_count_pct_rank","dismissed_ticket_count_pct_rank_type","seized_or_suspended_ticket_count","seized_or_suspended_ticket_count_rank","seized_or_suspended_ticket_count_rank_type","seized_or_suspended_ticket_count_pct","seized_or_suspended_ticket_count_pct_rank","seized_or_suspended_ticket_count_pct_rank_type","bankruptcy_ticket_count","bankruptcy_ticket_count_rank","bankruptcy_ticket_count_rank_type","bankruptcy_ticket_count_pct","bankruptcy_ticket_count_pct_rank","bankruptcy_ticket_count_pct_rank_type"
"29","171743","30","middle30","2","17331333.4500001","10","top10","9","16820830","21","middle30","3","10729273.08","32","middle30","2","97.9418666262963","6","top10","13","1.61533156261132","10","top10","12","0.382360697318826","41","bottom10","2","113230","10","top10","0.65929906895768677617","9","top10","0.65576047105877124764","11","middle30","18002","25","middle30","0.10481941039809482774","27","middle30","78410","33","middle30","0.45655427004302941022","39","middle30","14915","22","middle30","0.08684487868501190733","21","middle30","75135","9","top10","0.43748507945010859249","7","top10","7766","4","top10","0.0452187279830910139","1","top10"
"34","115323","40","middle30","1","13764219.54","16","middle30","7","12050750","38","middle30","2","7084127.64000002","42","bottom10","1","104.49563400189","1","top10","16","1.94296605587417","2","top10","15","0.339793249740002","49","bottom10","1","92399","15","middle30","0.80121918437779107377","1","top10","0.66497303212694442273","7","top10","12793","36","middle30","0.11093190430356477025","16","middle30","44740","46","bottom10","0.38795383401403015877","50","bottom10","10690","32","middle30","0.0926961664195346982","10","top10","53987","20","middle30","0.46813731866149857357","1","top10","5046","15","middle30","0.04375536536510496605","2","top10"
"6","198939","20","middle30","3","20892562.18","5","top10","11","19179765","14","middle30","3","11660974.51","24","middle30","2","96.4102815435887","11","middle30","12","1.79166519591337","4","top10","14","0.358209143941713","47","bottom10","1","141079","6","top10","0.70915707830038353465","6","top10","0.6566838838079893854","10","top10","21103","18","middle30","0.10607774242355696972","23","middle30","83914","32","middle30","0.42180768979435907489","47","bottom10","17175","17","middle30","0.08633299654668013813","24","middle30","88259","6","top10","0.44364855558739110984","3","top10","8575","3","top10","0.04310366494252006897","3","top10"
"24","210130","17","middle30","3","23099795.56","3","top10","13","19847695","13","middle30","3","11417340.85","25","middle30","2","94.454361585685","13","middle30","11","2.0232202807539","1","top10","16","0.330773118441316","50","bottom10","1","138920","7","top10","0.66111454813686765336","8","top10","0.67110380717611613257","4","top10","18255","22","middle30","0.08687479179555513254","39","middle30","88325","31","middle30","0.42033503069528387189","48","bottom10","15085","21","middle30","0.07178889259030124209","38","middle30","97200","3","top10","0.46257078951125493742","2","top10","9018","2","top10","0.04291628991576643031","4","top10"
"17","169970","31","middle30","2","18538535.16","9","top10","10","17095260","20","middle30","3","10353183.77","35","middle30","2","100.578102018003","3","top10","14","1.79061200610757","5","top10","14","0.358344333720126","46","bottom10","1","122623","9","top10","0.72143907748426192858","5","top10","0.66124496884821083972","8","top10","18137","23","middle30","0.10670706595281520268","21","middle30","72086","37","middle30","0.42411013708301464964","46","bottom10","14762","24","middle30","0.08685062069777019474","20","middle30","74609","10","top10","0.43895393304700829558","5","top10","7092","8","top10","0.04172501029593457669","5","top10"
"21","142107","38","middle30","2","14995774.85","12","middle30","8","14690635","30","middle30","2","9314422.33000002","38","middle30","2","103.377279092515","2","top10","15","1.60995221375151","11","middle30","12","0.383148777487621","40","middle30","2","100545","13","middle30","0.70753024129705081382","7","top10","0.65343960205754338364","14","middle30","17691","26","middle30","0.12449070066921404294","4","top10","61875","41","bottom10","0.43541134497245033672","43","bottom10","14162","26","middle30","0.09965730048484592596","3","top10","61019","16","middle30","0.42938771489089207428","8","top10","5869","12","middle30","0.04129986559423532972","6","top10"
"37","183307","23","middle30","2","19275808.35","6","top10","11","18424855","15","middle30","3","11051857.32","29","middle30","2","100.513646505589","4","top10","14","1.74412388722369","8","top10","13","0.364415034122869","43","bottom10","2","144034","5","top10","0.7857528626839127802","2","top10","0.69031659276064762298","3","top10","19394","21","middle30","0.10580065136628715761","25","middle30","78222","34","middle30","0.42672674802380705592","45","bottom10","16729","18","middle30","0.09126219947956160976","12","middle30","77605","7","top10","0.42336081000725558762","10","top10","7415","6","top10","0.04045126481803749993","7","top10"
"7","134197","39","middle30","2","14267365.3","14","middle30","8","13080905","37","middle30","2","7777808.26000002","39","middle30","1","97.4753906570192","8","top10","12","1.83436834941982","3","top10","14","0.352812294211758","48","bottom10","1","78747","24","middle30","0.58680149332697452253","13","middle30","0.64591904445919044459","17","middle30","15070","31","middle30","0.11229759234558149586","15","middle30","55681","42","bottom10","0.41491985662868767558","49","bottom10","12117","31","middle30","0.09029262949246257368","14","middle30","59152","17","middle30","0.44078481635207940565","4","top10","5244","14","middle30","0.03907687951295483506","8","top10"
"8","152629","36","middle30","2","15048179.7200001","11","middle30","8","14817095","29","middle30","3","9418453.71000001","37","middle30","2","97.0791592685532","10","top10","12","1.59773357531319","12","middle30","12","0.384950947049848","39","middle30","2","92106","17","middle30","0.60346329989713619299","11","middle30","0.64346716947648624667","20","middle30","18032","24","middle30","0.11814268585917486192","9","top10","68080","40","middle30","0.44604891599892549909","40","middle30","14636","25","middle30","0.09589265473795936552","7","top10","63433","15","middle30","0.41560253949118450622","12","middle30","5913","11","middle30","0.03874099941688669912","9","top10"
"9","91600","44","bottom10","1","9364043.37000003","22","middle30","5","8964050","42","bottom10","1","5579514.49000001","46","bottom10","1","97.860807860262","7","top10","12","1.67828999938667","9","top10","13","0.373372562429386","42","bottom10","2","57760","34","middle30","0.63056768558951965066","10","top10","0.65291146478604784142","15","middle30","10493","41","bottom10","0.11455240174672489083","10","top10","39646","47","bottom10","0.4328165938864628821","44","bottom10","8558","39","middle30","0.09342794759825327511","8","top10","38191","28","middle30","0.41693231441048034934","11","middle30","3365","18","middle30","0.03673580786026200873","10","top10"
