ward,ticket_count,ticket_count_rank,current_amount_due,current_amount_due_rank,fine_level1_amount,fine_level1_amount_rank,total_payments,total_payments_rank,avg_per_ticket,avg_per_ticket_rank,paid_pct,paid_pct_rank,police_ticket_count,police_ticket_count_rank,police_ticket_count_pct,police_ticket_count_pct_rank,contested_ticket_count,contested_ticket_count_rank,contested_ticket_count_pct,contested_ticket_count_pct_rank,paid_ticket_count,paid_ticket_count_rank,paid_ticket_count_pct,paid_ticket_count_pct_rank,dismissed_ticket_count,dismissed_ticket_count_rank,dismissed_ticket_count_pct,dismissed_ticket_count_pct_rank,seized_or_suspended_ticket_count,seized_or_suspended_ticket_count_rank,seized_or_suspended_ticket_count_pct,seized_or_suspended_ticket_count_pct_rank,bankruptcy_ticket_count,bankruptcy_ticket_count_rank,bankruptcy_ticket_count_pct,bankruptcy_ticket_count_pct_rank
1,0,0,-1.8998980522155762e-06,0,0,0,3.993511199951172e-06,0,4.263256414560601e-14,0,6.339373470609644e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,-4.336808689942018e-19,0
2,0,0,3.501772880554199e-07,0,0,0,-2.421438694000244e-07,0,0.0,0,-8.326672684688674e-15,0,0,0,5.551115123125783e-17,0,0,0,0.0,0,0,0,1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
3,0,0,-4.464760422706604e-06,0,0,0,-4.3585896492004395e-07,0,4.263256414560601e-14,0,6.961098364399732e-14,0,0,0,1.1102230246251565e-16,0,0,0,-4.163336342344337e-17,0,0,0,-1.1102230246251565e-16,0,0,0,1.3877787807814457e-17,0,0,0,-5.551115123125783e-17,0,0,0,0.0,0
4,191,0,11574.559998061508,0,17630,0,10919.800001125783,0,0.008052898135886721,0,-0.00010140115336843003,0,169,0,0.00035776326307546125,0,25,0,7.464996221770437e-06,0,100,0,-8.651038688090029e-05,0,24,0,1.9404039086609592e-05,0,55,0,4.309092825682814e-05,0,3,0,1.3506161106249803e-06,0
5,74,0,5782.749995429069,0,6700,0,5087.30999783054,0,0.001476386830219667,0,-2.161578970760747e-05,0,65,0,0.0001516915421533871,0,8,0,-1.6138227553474938e-06,0,38,0,-2.606574720820376e-05,0,7,0,2.1657082413528705e-06,1,30,0,3.373136615519856e-05,0,2,0,9.448279520429814e-07,0
6,0,0,2.644956111907959e-06,0,0,0,-1.8384307622909546e-06,0,-5.684341886080802e-14,0,-6.306066779870889e-14,0,0,0,-1.1102230246251565e-16,0,0,0,-1.3877787807814457e-17,0,0,0,5.551115123125783e-17,0,0,0,0.0,0,0,0,-5.551115123125783e-17,0,0,0,0.0,0
7,0,0,-5.258247256278992e-06,0,0,0,-1.0970979928970337e-06,0,0.0,0,4.674038933671909e-14,0,0,0,-1.1102230246251565e-16,0,0,0,-1.3877787807814457e-17,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,-5.551115123125783e-17,0,0,0,-1.3877787807814457e-17,0
8,69,0,9443.919995484874,0,7150,0,3961.199998781085,0,0.002956866382618273,0,-4.897766722233854e-05,0,45,0,2.2013268875076264e-05,0,4,0,-2.718727389319775e-05,0,29,0,-1.1638743961372988e-05,0,6,0,-4.036439558430249e-06,0,32,0,2.1764209227614906e-05,0,5,0,1.5238460324043523e-05,0
9,3,0,178.79999738372862,0,180,0,85.17999964300543,0,-0.0010216344265217003,0,-8.265678130281451e-07,0,1,0,-9.80372007197694e-06,0,0,0,-3.072081256258463e-06,0,1,0,-2.817362245444155e-06,0,0,0,-2.4974825571510983e-06,0,1,0,-2.420732036267914e-06,0,0,0,-1.0464341167124025e-06,0
10,34,0,2813.0199993941933,0,3000,0,2056.5199998421595,0,-0.001228466446065113,0,-2.0484305416623716e-05,0,29,0,0.0001221620932756462,0,4,0,8.825258619421517e-06,0,16,0,-3.5461590227714446e-05,0,4,0,1.4897715925998867e-05,0,10,0,3.568318370117396e-06,0,0,0,-8.025929827924771e-06,0
