ward,ticket_count,ticket_count_rank,current_amount_due,current_amount_due_rank,fine_level1_amount,fine_level1_amount_rank,total_payments,total_payments_rank,avg_per_ticket,avg_per_ticket_rank,paid_pct,paid_pct_rank,police_ticket_count,police_ticket_count_rank,police_ticket_count_pct,police_ticket_count_pct_rank,contested_ticket_count,contested_ticket_count_rank,contested_ticket_count_pct,contested_ticket_count_pct_rank,paid_ticket_count,paid_ticket_count_rank,paid_ticket_count_pct,paid_ticket_count_pct_rank,dismissed_ticket_count,dismissed_ticket_count_rank,dismissed_ticket_count_pct,dismissed_ticket_count_pct_rank,seized_or_suspended_ticket_count,seized_or_suspended_ticket_count_rank,seized_or_suspended_ticket_count_pct,seized_or_suspended_ticket_count_pct_rank,bankruptcy_ticket_count,bankruptcy_ticket_count_rank,bankruptcy_ticket_count_pct,bankruptcy_ticket_count_pct_rank
1,0,0,2.92360782623291e-05,0,0,0,-1.730024814605713e-05,0,0.0,0,-1.9506618542664e-13,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,-2.7755575615628914e-17,0,0,0,0.0,0
2,0,0,1.3962388038635254e-05,0,0,0,-1.6763806343078613e-05,0,-3.552713678800501e-14,0,-1.0125233984581428e-13,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,1,0.0,0,0,0,4.336808689942018e-19,0
3,21,0,1334.8000282645226,0,2755,0,1791.000015936792,0,0.0012294400440779896,0,-4.827330120082962e-07,0,19,0,4.620670482902156e-06,0,3,0,9.711911914817017e-07,0,8,0,-3.7491766103903146e-06,0,0,0,-1.5192071404629415e-06,0,7,0,-1.420336548374479e-07,0,0,0,-2.4703786707068465e-07,0
4,1935,0,72096.69002003223,0,109620,0,88875.43998846412,0,-0.0005277123858249411,0,-0.00013006310602448057,0,1512,0,0.00020605194046285913,0,82,0,-5.8217054593009965e-05,0,1071,0,-8.143196299503774e-05,0,115,0,-4.44092726591544e-05,0,652,0,5.511816385023183e-05,0,15,0,-1.8608628480354383e-06,0
5,309,0,19343.95002540946,0,22740,0,16163.630014188588,0,0.0028682583999355415,0,-5.1813803796263436e-05,0,262,0,0.00011244195747539543,0,24,0,-1.5539249160062552e-06,0,146,0,-3.7217070164241584e-05,0,26,0,-7.339376445897328e-07,0,141,0,3.284334489128682e-05,0,7,0,1.981060910892507e-06,0
6,0,0,3.8929283618927e-05,0,0,0,1.2949109077453613e-05,0,-2.842170943040401e-14,0,-1.255662240851052e-13,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-5.551115123125783e-17,0,0,0,3.469446951953614e-18,0
7,8,0,343.200024060905,0,435,0,172.00000486150384,0,-0.00020077035814836108,0,-9.814406813357657e-07,0,6,0,2.792237799087438e-06,0,0,0,-1.0416133272017625e-06,0,3,0,-1.3472193229890905e-06,0,1,0,5.219462723554669e-07,0,4,0,3.9394476031295866e-07,0,0,0,-3.241941599271825e-07,0
8,395,0,21513.48001602292,0,24900,0,19816.37000590563,0,-0.0037334676611919804,0,-1.549614567664115e-05,0,310,0,0.0001642836792021818,0,26,0,-1.1014392047675736e-05,0,210,0,4.370182371316034e-06,0,29,0,-9.17133571398665e-06,0,181,0,1.4817441807146725e-05,0,11,0,2.9443741354773234e-06,0
9,39,0,2016.2000046111643,0,2145,0,1295.1800011619925,0,-0.0015541281220095016,0,-6.946400127938457e-06,0,20,0,-8.856891045683213e-06,0,3,0,-6.24417994213311e-07,0,16,0,-9.113263013227346e-06,0,3,0,-6.428598845892308e-07,0,16,0,-1.610630247173006e-06,0,0,0,-2.085649134946077e-06,0
10,199,0,12395.919995993376,0,12110,0,8037.419999361038,0,-0.0025948433010967165,0,-7.186215277965591e-05,0,152,0,9.518340645220391e-05,0,11,0,-8.03417260569761e-06,0,74,0,-8.854410608150065e-05,0,11,0,-1.0757869489924632e-05,0,79,0,3.678482674890349e-05,0,0,0,-5.751570014131402e-06,0
