firstname,lastname,alderman,ward,ward_phone,website_url,email,cq,notes
Daniel,La Spata,Daniel La Spata,1,(872) 206-2685,https://daniellaspata.com/,info@the1stward.com,DC + DE,"The ward website is under construction, but campaign website has constitutent info in the interim. New web domain will soon become: https://the1stward.com; DE confirmed this is still case July 29, 2019"
Brian,Hopkins,Brian Hopkins,2,(312) 643-2299,https://www.aldermanhopkins.com/,ward02@cityofchicago.org,DE,
Pat,Dowell,Pat Dowell,3,(773) 373-9273,http://www.ward03chicago.com,ward03@cityofchicago.org,DE,
Sophia D.,King,Sophia D. King,4,(773) 536-8103,http://www.aldsophiaking.com,ward04@cityofchicago.org,DE,
Leslie A.,Hairston,Leslie A. Hairston,5,(773) 324-5555,http://leslieahairston.com/,ward05@cityofchicago.org,DE,Email confirmed via voicemail greeting; did not speak to anyone
Roderick T.,Sawyer,Roderick T. Sawyer,6,(773) 635-0006,http://www.6ward.com,ward06@cityofchicago.org,DE,
Gregory I.,Mitchell,Gregory I. Mitchell,7,(773) 731-7777,http://www.gregmitchell7thward.org/,alderman@gregmitchell7thward.org,DE,"Called, got into a phone menu feedback loop; this info is what is stated on the website"
Michelle A.,Harris,Michelle A. Harris,8,(773) 874-3300,http://www.Aldermanmichelleharris.net,michelleharris8@gmail.com,DE,
Anthony,Beale,Anthony Beale,9,(773) 785-1100,http://www.Ward09.com,Ward09@cityofchicago.org,DE,
Susan,Sadlowski Garza,Susan Sadlowski Garza,10,(773) 768-8138,https://www.aldssg.com/,ward10@cityofchicago.org,DE,
Patrick D.,Thompson,Patrick D. Thompson,11,(773) 254-6677,http://www.ward11.org,ward11@cityofchicago.org,DE,
George A.,Cardenas,George A. Cardenas,12,(773) 523-8250,http://www.12thwardchicago.com/,ward12@cityofchicago.org,DE,
Marty,Quinn,Marty Quinn,13,(773) 581-8000,http://www.madigan-quinn.com/,ward13@cityofchicago.org,DE,
Edward M.,Burke,Edward M. Burke,14,(773) 471-1414,http://www.committeeonfinance.org/,ward14@cityofchicago.org,DE,No website; http://www.committeeonfinance.org/ is the closest but is not really a ward website
Raymond A.,Lopez,Raymond A. Lopez,15,(773) 306-0837,http://www.the15thward.org,info@the15thward.org,DE,
Stephanie D.,Coleman,Stephanie D. Coleman,16,(773) 306-1981,http://www.16thward.org,info@16thward.org,DC,
David H.,Moore,David H. Moore,17,(773) 783-3672,http://www.17thwardalderman.com/17thward/,alderman@17ward.com,DE,
Derrick G.,Curtis,Derrick G. Curtis,18,(773) 284-5057,https://www.facebook.com/aldermancurtis18ward/,alderman18derrickcurtis@gmail.com,DC,
Matthew J.,O'Shea,Matthew J. O'Shea,19,(773) 238-8766,http://the19thward.com/,mattoshea@the19thward.com,,
Jeanette B.,Taylor,Jeanette B. Taylor,20,(773) 966-5336,,jeanette.taylor@cityofchicago.org,DE,
Howard,"Brookins, Jr.","Howard Brookins, Jr.",21,(773) 881-9300,http://www.21Chicago.com,ward21@cityofchicago.org,DE,
Michael D.,Rodriguez,Michael D. Rodriguez,22,"(773) 762-1771
",,ward22@cityofchicago.org,DE,
Silvana,Tabares,Silvana Tabares,23,(773) 582-4444,,ward23@cityofchicago.org,DE,
