,,,,,,
CANVAS TABLE,,,,,TABLE FOR WBEZ,
Reporting District,Department Name,Department Description,Department Category,,Reporting District,Department Category
18,CPD,1160 N. Larrabee,CPD,,18,CPD
19,CPD,2452 W. Belmont,CPD,,19,CPD
20,CPD,5400 N. Lincoln Ave,CPD,,20,CPD
21,CPD,300 E 29th Street,CPD,,21,CPD
22,CPD,1900 W. Monterey,CPD,,22,CPD
23,CPD,3600 N. Halsted,CPD,,23,CPD
24,CPD,6464 N. Clark,CPD,,24,CPD
25,CPD,5555 W. Grand,CPD,,25,CPD
26,CPD-Other,Other Police,CPD,,26,CPD
27,CPD-Other,Other Police,CPD,,27,CPD
28,CPD-Other,Other Police,CPD,,28,CPD
29,CPD-Other,Other Police,CPD,,29,CPD
30,CPD-Other,Other Police,CPD,,30,CPD
31,CPD-Other,Other Police,CPD,,31,CPD
32,CPD-Other,Other Police,CPD,,32,CPD
33,CPD-Other,Other Police,CPD,,33,CPD
35,CPD-Other,Other Police,CPD,,35,CPD
43,CPD-Other,Other Police,CPD,,43,CPD
44,CPD-Other,Recruit Training,CPD,,44,CPD
45,CPD-Other,District Reinstatement,CPD,,45,CPD
49,CPD-Other,Other Police,CPD,,49,CPD
50,CPD-Airport,O'Hare Airport,CPD,,50,CPD
51,CPD-Airport,Midway Airport,CPD,,51,CPD
53,Miscellaneous,Bureau of Electricity,Miscellaneous/Other,,53,Other
55,CPD,Mounted Unit,CPD,,55,CPD
57,CPD,Detail Unit,CPD,,57,CPD
59,CPD,Marine Unit,CPD,,59,CPD
60,CPD-Other,Helicopter Unit,CPD,,60,CPD
61,CPD-Other,Other Police,CPD,,61,CPD
69,CPD-Other,Other Police,CPD,,69,CPD
70,CPD-Other,Other Police,CPD,,70,CPD
71,CPD-Other,Other Police,CPD,,71,CPD
73,CPD-Other,Other Police,CPD,,73,CPD
74,CPD-Other,Other Police,CPD,,74,CPD
75,CPD-Other,Other Police,CPD,,75,CPD
77,CPD-Other,Other Police,CPD,,77,CPD
78,CPD-Other,Other Police,CPD,,78,CPD
79,CPD-Other,Special Investigations Unit,CPD,,79,CPD
80,CPD-Other,Other Police,CPD,,80,CPD
81,CPD-Other,Other Police,CPD,,81,CPD
87,CPD-Other,Other Police,CPD,,87,CPD
92,Miscellaneous,Chicago State University,Miscellaneous/Other,,92,Other
93,CPD-Other,Other Police,CPD,,93,CPD
99,CPD-Other,Other Police,CPD,,99,CPD
100,CPD-Other,Other Police,CPD,,100,CPD
101,CPD-Other,Police Board,CPD,,101,CPD
110,CPD-Other,Other Police,CPD,,110,CPD
111,CPD-Other,Department Administration,CPD,,111,CPD
112,CPD-Other,Bureau of Professional Standards,CPD,,112,CPD
113,CPD-Other,Independent Police Review Authority,CPD,,113,CPD
114,CPD-Other,Office of Legal Affairs,CPD,,114,CPD
115,CPD-Other,CAPS Project Office,CPD,,115,CPD
116,CPD-Other,Deployment Operations Center Section,CPD,,116,CPD
117,CPD-Other,Office of Asst Superintendent ,CPD,,117,CPD
118,CPD-Other,Chaplains Section,CPD,,118,CPD
119,CPD-Other,Other Police,CPD,,119,CPD
120,CPD-Other,Bureau of Admin Services,CPD,,120,CPD
121,CPD-Other,Internal Affairs Division,CPD,,121,CPD
122,CPD-Other,Finance Division,CPD,,122,CPD
123,CPD-Other,Human Resources Division,CPD,,123,CPD
124,CPD-Other,Education and Training Division,CPD,,124,CPD
125,CPD-Other,Information Services Division,CPD,,125,CPD
126,CPD-Other,Inspection Division,CPD,,126,CPD
127,CPD-Other,Research and Development Division,CPD,,127,CPD
128,CPD-Other,Professional Counseling Services,CPD,,128,CPD
129,CPD-Other,Management and Labor Affairs Section,CPD,,129,CPD
130,CPD-Other,Other Police,CPD,,130,CPD
131,CPD-Other,Domestic Violence Office,CPD,,131,CPD
132,CPD-Other,Neighborhood Relations Division,CPD,,132,CPD
133,CPD-Other,Other Police,CPD,,133,CPD
134,CPD-Other,Field Technology Training Unit,CPD,,134,CPD
135,CPD-Other,CAPS Implementation,CPD,,135,CPD
136,CPD-Other,Special Events and Liaison Section,CPD,,136,CPD
139,CPD,Back to Streets,CPD,,139,CPD
140,CPD,Security Detail,CPD,,140,CPD
141,CPD-Other,Special Functions Group,CPD,,141,CPD
142,CPD-Other,Bureau of Patrol - Administration,CPD,,142,CPD
143,CPD-Other,Court Liaison Section,CPD,,143,CPD
145,CPD-Other,Traffic Section - Administration,CPD,,145,CPD
146,CPD-Other,Major Accident,CPD,,146,CPD
147,CPD-Other,Senior Citizen Services Section,CPD,,147,CPD
148,CPD-Other,Traffic Court/Records Unit,CPD,,148,CPD
151,CPD,Traffic Enforcement,CPD,,151,CPD
152,CPD,Loop Traffic,CPD,,152,CPD
153,CPD,Mobile Strike Force,CPD,,153,CPD
154,CPD-Other,Traffic Safety and Training Unit,CPD,,154,CPD
157,CPD-Other,Other Police,CPD,,157,CPD
160,CPD-Other,Facilities Management Unit,CPD,,160,CPD
161,CPD-Other,General Support Division,CPD,,161,CPD
162,CPD-Other,Records Services Division,CPD,,162,CPD
163,CPD-Other,Records Inquiry Section,CPD,,163,CPD
166,CPD-Other,Field Services Section,CPD,,166,CPD
167,CPD-Other,Evidence and Recovered Property Unit,CPD,,167,CPD
168,CPD-Other,Auto Pounds Section,CPD,,168,CPD
169,CPD-Other,Police Document Services Section,CPD,,169,CPD
170,CPD-Other,Counter Terrorism/Intelligence Division,CPD,,170,CPD
171,CPD-Other,Central Detention Section,CPD,,171,CPD
172,CPD-Other,Equipment and Supply Section,CPD,,172,CPD
173,CPD-Other,Fleet Liaison,CPD,,173,CPD
175,CPD-Other,Telephone Audit Unit,CPD,,175,CPD
177,CPD-Other,Forensics Services Section,CPD,,177,CPD
179,CPD-Other,Reproduction and Graphic Arts,CPD,,179,CPD
180,CPD-Other,Bureau of Investigative Services,CPD,,180,CPD
182,CPD-Other,Other Police,CPD,,182,CPD
184,CPD-Other,Youth Investigation Section,CPD,,184,CPD
188,CPD-Other,Organized Crime Division,CPD,,188,CPD
189,CPD-Other,Narcotics Section,CPD,,189,CPD
191,CPD-Other,Intelligence Section,CPD,,191,CPD
192,CPD-Other,Vice Control Section,CPD,,192,CPD
193,CPD-Other,Gang Investigation Section,CPD,,193,CPD
195,CPD-Other,Office of Management Accountability,CPD,,195,CPD
196,CPD-Other,Asset Forfeiture Unit,CPD,,196,CPD
198,CPD-Other,Other Police,CPD,,198,CPD
202,CPD-Other,Other Police,CPD,,202,CPD
205,CPD-Other,Other Police,CPD,,205,CPD
209,CPD-Other,Other Police,CPD,,209,CPD
211,CPD-Other,"Deputy Chief, Area 1",CPD,,211,CPD
212,CPD-Other,"Deputy Chief, Area 2",CPD,,212,CPD
213,CPD-Other,"Deputy Chief, Area 3",CPD,,213,CPD
214,CPD-Other,"Deputy Chief, Area 4",CPD,,214,CPD
215,CPD-Other,"Deputy Chief, Area 5",CPD,,215,CPD
216,CPD,Bike Patrol Unit,CPD,,216,CPD
217,CPD-Other,Other Police,CPD,,217,CPD
225,CPD-Other,Other Police,CPD,,225,CPD
231,CPD-Other,Medical Services Section,CPD,,231,CPD
232,CPD-Other,Other Police,CPD,,232,CPD
235,CPD-Other,Other Police,CPD,,235,CPD
252,CPD,OEMC,CPD,,252,CPD
253,CPD,Target Response Unit,CPD,,253,CPD
257,CPD-Other,Other Police,CPD,,257,CPD
262,CPD-Other,Other Police,CPD,,262,CPD
276,CPD-Other,OEMC Detail,CPD,,276,CPD
284,CPD,Youth Division/School Patrol,CPD,,284,CPD
301,CPD-Other,Other Police,CPD,,301,CPD
309,CPD-Other,Other Police,CPD,,309,CPD
729,Miscellaneous,CPM,Chicago Parking Meter,,729,Other
341,CPD-Other,K9 Unit,CPD,,341,CPD
0TEM,CPD-Other,Other Police,CPD,,0TEM,CPD
